Role,Section,Page/Route,Permission Level,Data Scope,Actions Allowed,Actions Denied,Notes
system_owner,Role Shell,N/A,None,N/A,Cannot shell; not in ROLE_CAN_VIEW_DOWN,N/A,system_owner not in ROLE_CAN_VIEW_DOWN dict
pen_tester,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,pen_tester is in _LOWER_THAN_ISSO and _VALID_SHELL_ROLES
pen_tester,Systems,/systems,Role-scoped,Assigned systems only,View system detail,Cannot edit/delete system records; cannot manage controls,Read-only system access
pen_tester,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
pen_tester,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items (pen_tester may create POA&Ms from findings),Cannot delete,Standard non-admin access; detection_source can be 'pentest'
pen_tester,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks (pen_tester can log risks from findings),Cannot delete,Standard non-admin risk access
pen_tester,Observations,/observations,None,N/A,Cannot access observations,403,pen_tester NOT in _OBS_ROLES
pen_tester,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package only; cannot edit any doc type,Cannot edit/approve/finalize any documents,pen_tester not in any ATO_DOC_TYPES owner_roles or reviewer_roles
pen_tester,Reports,/reports,Role-scoped,Assigned systems,View reports center,Cannot export audit log,Scoped by _user_system_ids
pen_tester,Admin Panel,N/A,None,N/A,No access,403,pen_tester is non-admin
pen_tester,User Management,N/A,None,N/A,No access,403,Cannot manage users
pen_tester,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
pen_tester,Role Shell,N/A,None,N/A,Cannot shell; not in ROLE_CAN_VIEW_DOWN,N/A,pen_tester not in ROLE_CAN_VIEW_DOWN dict; can be shelled INTO by isso/issm/ao/ciso/admin
incident_responder,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,incident_responder is in _LOWER_THAN_ISSO
incident_responder,Systems,/systems,Role-scoped,Assigned systems only,View system detail,Cannot edit/delete system records,Read-only system access
incident_responder,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
incident_responder,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin access
incident_responder,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
incident_responder,Observations,/observations,None,N/A,Cannot access observations,403,incident_responder NOT in _OBS_ROLES
incident_responder,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package only,Cannot edit/approve/finalize any documents,incident_responder not in any ATO_DOC_TYPES roles
incident_responder,Reports,/reports,Role-scoped,Assigned systems,View reports center,Cannot export audit log,Scoped by _user_system_ids
incident_responder,Admin Panel,N/A,None,N/A,No access,403,Non-admin role
incident_responder,User Management,N/A,None,N/A,No access,403,Cannot manage users
incident_responder,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
incident_responder,Role Shell,N/A,None,N/A,Cannot shell,N/A,incident_responder not in ROLE_CAN_VIEW_DOWN; can be shelled INTO
data_owner,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,data_owner is in _LOWER_THAN_ISSO
data_owner,Systems,/systems,Role-scoped,Assigned systems only,View system detail,Cannot edit/delete system records,Read-only system access
data_owner,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
data_owner,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin access
data_owner,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
data_owner,Observations,/observations,None,N/A,Cannot access observations,403,data_owner NOT in _OBS_ROLES
data_owner,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package only,Cannot edit/approve/finalize,data_owner not in any ATO_DOC_TYPES roles
data_owner,Reports,/reports,Role-scoped,Assigned systems,View reports center,Cannot export audit log,Scoped by _user_system_ids
data_owner,Admin Panel,N/A,None,N/A,No access,403,Non-admin role
data_owner,User Management,N/A,None,N/A,No access,403,Cannot manage users
data_owner,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
data_owner,Role Shell,N/A,None,N/A,Cannot shell,N/A,data_owner not in ROLE_CAN_VIEW_DOWN; can be shelled INTO
pmo,Dashboard,/dashboard,Role-scoped,Assigned systems only,View quiz activity/streak; view assigned systems,Cannot access /admin,pmo is in _LOWER_THAN_ISSO
pmo,Systems,/systems,Role-scoped,Assigned systems only,View system detail,Cannot edit/delete system records,Read-only system access
pmo,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update system controls,In-memory read
pmo,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View/create/update POA&M items,Cannot delete,Standard non-admin access
pmo,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks,Cannot delete,Standard non-admin risk access
pmo,Observations,/observations,None,N/A,Cannot access observations,403,pmo NOT in _OBS_ROLES
pmo,ATO Documents,/ato,Role-scoped,Assigned systems,View ATO package only,Cannot edit/approve/finalize,pmo not in any ATO_DOC_TYPES roles
pmo,Submissions,/submissions,Read,All submissions (global),View submission list and detail for all systems,Cannot update/create submissions directly (must be assigned and use /systems/{id}/submit),Global submission list is not scoped for non-admins in submissions list view
pmo,Reports,/reports,Role-scoped,Assigned systems,View reports center; generate system compliance reports,Cannot export audit log,Scoped by _user_system_ids
pmo,Admin Panel,N/A,None,N/A,No access,403,Non-admin role
pmo,User Management,N/A,None,N/A,No access,403,Cannot manage users
pmo,Audit Log,N/A,None,N/A,No access,403,Not in allowed role list
pmo,Role Shell,N/A,None,N/A,Cannot shell,N/A,pmo not in ROLE_CAN_VIEW_DOWN; can be shelled INTO
employee,Dashboard,/dashboard,Self-scoped,Own quiz activity + assigned systems only,View own daily quiz (streak/score/week calendar); view assigned systems; take daily quiz at /dashboard/quiz; submit quiz at /dashboard/quiz/submit,Cannot access /admin; cannot view other users' data,Primary entry point for all non-specialized users; quiz pass threshold from config.yaml (default 75%)
employee,Dashboard Quiz,/dashboard/quiz,Self-scoped,Own quiz for today,Take today's 15-question (configurable) daily quiz; quiz domains optionally filtered per profile,Cannot retake quiz same day (once per day limit),Renders daily_quiz.html
employee,Dashboard Quiz,/dashboard/quiz/submit,Self-scoped,Own quiz result,Submit quiz answers; score recorded in DailyQuizActivity; updates streak,Cannot submit on behalf of another user,DailyQuizActivity records remote_user/quiz_date/score/passed
employee,Profile,/profile,Self-scoped,Own UserProfile,View/edit own profile: display_name/email/department/notifications_email/notifications_quiz/quiz_domains,Cannot change own role,GET+POST; max_packages shown but editable only by admin
employee,Systems,/systems,Role-scoped,Assigned systems only,View system detail; view control status,Cannot create/edit/delete systems; cannot manage assignments,_can_access_system check; unassigned systems return 403
employee,Controls,/controls,Read,All NIST controls,Browse control catalog,Cannot update any system controls (requires assignment),In-memory read; no DB write possible
employee,POA&M,/poam,Role-scoped,Assigned systems' POA&Ms,View POA&M items for assigned systems; create/update POA&M items,Cannot delete POA&M items,Non-admin is_adm=False so system scope applied
employee,Risks,/risks,Role-scoped,Assigned systems' risks,View/create/update risks for assigned systems,Cannot delete risks,Standard non-admin access
employee,Observations,/observations,None,N/A,Cannot access observations,403 returned,employee NOT in _OBS_ROLES
employee,ATO Documents,/ato,Role-scoped,Assigned systems' ATO packages,View ATO package matrix/per-system page; view document detail,Cannot edit/approve/finalize any document (employee not in any owner_roles or reviewer_roles),employee is in _LOWER_THAN_ISSO but has no special ATO permissions
employee,Reports,/reports,Role-scoped,Assigned systems,View aggregated reports center; generate system compliance reports,Cannot export audit log; cannot view global SIEM,Scoped by _user_system_ids
employee,SIEM,N/A,None,N/A,No access to /admin/siem,403,SIEM is admin-only
employee,Admin Panel,N/A,None,N/A,No access to /admin,403,employee is non-admin
employee,User Management,N/A,None,N/A,No access to /admin/users,403,Cannot manage users
employee,Audit Log,N/A,None,N/A,No access to /admin/audit,403,employee not in allowed role list
employee,Global Search,/search,Role-scoped,Assigned systems' data,Search systems/POA&Ms/risks/controls; NIST control keyword search,Cannot see systems or items not in their scope,Results scoped by _user_system_ids for non-admins
employee,Role Shell,N/A,None,N/A,Cannot shell into any other role,N/A,employee not in ROLE_CAN_VIEW_DOWN; is the lowest shell target
