control_id,title,confidentiality,integrity,availability,overlays,csf_categories,source_url
PL-4,Rules of Behavior,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PL-4/
PL-7,Concept of Operations,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/PL-7/
PL-8,Security and Privacy Architectures,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","ID.AM-3, PR.PT-5",https://app.xylok.io/reference/controls/control/PL-8/
PL-9,Central Management,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PL-9/
PL-10,Baseline Selection,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PL-10/
PL-11,Baseline Tailoring,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PL-11/
PM-1,Information Security Program Plan,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform","DE.DP-2, ID.GV-1, ID.GV-2, ID.GV-3",https://app.xylok.io/reference/controls/control/PM-1/
PM-2,Information Security Program Leadership Role,,,,DAF Baseline,"ID.AM-6, ID.GV-2",https://app.xylok.io/reference/controls/control/PM-2/
PM-3,Information Security and Privacy Resources,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",ID.GV-4,https://app.xylok.io/reference/controls/control/PM-3/
PM-4,Plan of Action and Milestones Process,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.RA-1, ID.RA-6, RS.AN-5",https://app.xylok.io/reference/controls/control/PM-4/
PM-5,System Inventory,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.AM-1, ID.AM-4",https://app.xylok.io/reference/controls/control/PM-5/
PM-6,Measures of Performance,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.IP-7,https://app.xylok.io/reference/controls/control/PM-6/
PM-7,Enterprise Architecture,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",ID.GV-4,https://app.xylok.io/reference/controls/control/PM-7/
PM-8,Critical Infrastructure Plan,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.BE-2, ID.BE-4, ID.RM-3",https://app.xylok.io/reference/controls/control/PM-8/
PM-9,Risk Management Strategy,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.GV-4, ID.RA-4, ID.RA-6, ID.RM-1, ID.RM-2, ID.RM-3, ID.SC-2",https://app.xylok.io/reference/controls/control/PM-9/
PM-10,Authorization Process,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",ID.GV-4,https://app.xylok.io/reference/controls/control/PM-10/
PM-11,Mission and Business Process Definition,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform","ID.BE-3, ID.GV-4, ID.RA-4, ID.RM-3",https://app.xylok.io/reference/controls/control/PM-11/
PM-12,Insider Threat Program,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Space Platform",ID.RA-3,https://app.xylok.io/reference/controls/control/PM-12/
PM-13,Security and Privacy Workforce,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","PR.AT-1, PR.AT-2, PR.AT-4, PR.AT-5",https://app.xylok.io/reference/controls/control/PM-13/
PM-14,"Testing, Training, and Monitoring",,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform","DE.DP-1, DE.DP-2, DE.DP-3, DE.DP-5, PR.AT-1, PR.IP-10",https://app.xylok.io/reference/controls/control/PM-14/
PM-15,Security and Privacy Groups and Associations,,,,DAF Baseline,"ID.RA-1, ID.RA-2, RS.AN-5, RS.CO-5",https://app.xylok.io/reference/controls/control/PM-15/
PM-16,Threat Awareness Program,,,,"DAF Baseline, Space Platform","ID.RA-2, ID.RA-3, ID.RA-5",https://app.xylok.io/reference/controls/control/PM-16/
PM-17,Protecting Controlled Unclassified Information on External Systems,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform",None,https://app.xylok.io/reference/controls/control/PM-17/
PM-18,Privacy Program Plan,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-18/
PM-19,Privacy Program Leadership Role,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-19/
PM-20,Dissemination of Privacy Program Information,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-20/
PM-21,Accounting of Disclosures,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PM-21/
PM-22,Personally Identifiable Information Quality Management,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-22/
PM-23,Data Governance Body,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-23/
PM-24,Data Integrity Board,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-24/
PM-25,"Minimization of Personally Identifiable Information Used in Testing, Training, and Research",,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-25/
PM-26,Complaint Management,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-26/
PM-27,Privacy Reporting,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/PM-27/
PM-28,Risk Framing,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.GV-4, ID.RA-5, ID.RA-6, ID.RM-1",https://app.xylok.io/reference/controls/control/PM-28/
PM-29,Risk Management Program Leadership Roles,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.AM-6, ID.GV-2",https://app.xylok.io/reference/controls/control/PM-29/
PM-30,Supply Chain Risk Management Strategy,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform",ID.SC-1,https://app.xylok.io/reference/controls/control/PM-30/
PM-31,Continuous Monitoring Strategy,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253), Space Platform",None,https://app.xylok.io/reference/controls/control/PM-31/
PM-32,Purposing,,,,"DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/PM-32/
PS-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, PR.IP-11",https://app.xylok.io/reference/controls/control/PS-1/
PS-2,Position Risk Designation,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-11,https://app.xylok.io/reference/controls/control/PS-2/
PS-3,Personnel Screening,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.AC-6, PR.IP-11",https://app.xylok.io/reference/controls/control/PS-3/
PS-4,Personnel Termination,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-11,https://app.xylok.io/reference/controls/control/PS-4/
PS-5,Personnel Transfer,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-11,https://app.xylok.io/reference/controls/control/PS-5/
PS-6,Access Agreements,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","PR.DS-5, PR.IP-11",https://app.xylok.io/reference/controls/control/PS-6/
PS-7,External Personnel Security,,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)","DE.CM-6, ID.AM-6, ID.GV-2, ID.SC-4, PR.AT-3, PR.IP-11",https://app.xylok.io/reference/controls/control/PS-7/
PS-8,Personnel Sanctions,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",PR.IP-11,https://app.xylok.io/reference/controls/control/PS-8/
PS-9,Position Descriptions,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.GV-2, PR.IP-11",https://app.xylok.io/reference/controls/control/PS-9/
PT-1,Policy and Procedures,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/PT-1/
PT-2,Authority to Process Personally Identifiable Information,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-2/
PT-3,Personally Identifiable Information Processing Purposes,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-3/
PT-4,Consent,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-4/
PT-5,Privacy Notice,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-5/
PT-6,System of Records Notice,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-6/
PT-7,Specific Categories of Personally Identifiable Information,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-7/
PT-8,Computer Matching Requirements,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/PT-8/
RA-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3, ID.GV-4, PR.IP-12, RS.AN-5",https://app.xylok.io/reference/controls/control/RA-1/
RA-2,Security Categorization,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.AM-5, ID.GV-4, ID.RA-4, ID.RA-5",https://app.xylok.io/reference/controls/control/RA-2/
RA-3,Risk Assessment,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.AE-4, ID.GV-4, ID.RA-1, ID.RA-3, ID.RA-4, ID.RA-5, ID.SC-2, PR.IP-12, RS.AN-2, RS.AN-4, RS.MI-3",https://app.xylok.io/reference/controls/control/RA-3/
RA-5,Vulnerability Monitoring and Scanning,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C","DE.AE-2, DE.CM-8, DE.DP-4, DE.DP-5, ID.RA-1, PR.IP-12, RS.AN-1, RS.MI-3",https://app.xylok.io/reference/controls/control/RA-5/
RA-6,Technical Surveillance Countermeasures Survey,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, Classified, DAF Baseline, Int-A, Int-B, Int-C, Space Platform",None,https://app.xylok.io/reference/controls/control/RA-6/
RA-7,Risk Response,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.RA-6, RS.AN-5, RS.MI-3",https://app.xylok.io/reference/controls/control/RA-7/
RA-8,Privacy Impact Assessments,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/RA-8/
RA-9,Criticality Analysis,,,,DAF Baseline,"ID.AM-5, ID.BE-4, ID.BE-5, ID.RA-4, ID.RM-3",https://app.xylok.io/reference/controls/control/RA-9/
RA-10,Threat Hunting,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C","ID.RA-2, ID.RA-3",https://app.xylok.io/reference/controls/control/RA-10/
SA-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/SA-1/
SA-2,Allocation of Resources,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",ID.GV-4,https://app.xylok.io/reference/controls/control/SA-2/
SA-3,System Development Life Cycle,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-2,https://app.xylok.io/reference/controls/control/SA-3/
SA-4,Acquisition Process,,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)","DE.CM-6, ID.SC-3, PR.IP-2",https://app.xylok.io/reference/controls/control/SA-4/
SA-5,System Documentation,,,,DAF Baseline,ID.RA-1,https://app.xylok.io/reference/controls/control/SA-5/
SA-8,Security and Privacy Engineering Principles,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","ID.BE-5, PR.IP-2",https://app.xylok.io/reference/controls/control/SA-8/
SA-9,External System Services,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.CM-6, ID.AM-4, ID.SC-1, ID.SC-3, ID.SC-4, PR.AT-3",https://app.xylok.io/reference/controls/control/SA-9/
SA-10,Developer Configuration Management,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)","PR.DS-8, PR.IP-1, PR.IP-2, PR.IP-3",https://app.xylok.io/reference/controls/control/SA-10/
SA-11,Developer Testing and Evaluation,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","ID.RA-1, ID.SC-4, PR.IP-2",https://app.xylok.io/reference/controls/control/SA-11/
SA-15,"Development Process, Standards, and Tools",,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)",ID.SC-2,https://app.xylok.io/reference/controls/control/SA-15/
SA-16,Developer-provided Training,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SA-16/
SA-17,Developer Security and Privacy Architecture and Design,,,,"DAF Baseline, Privacy (high), Privacy (moderate)",ID.AM-3,https://app.xylok.io/reference/controls/control/SA-17/
SA-20,Customized Development of Critical Components,,,,DAF Baseline,"ID.AM-5, ID.BE-4, ID.BE-5",https://app.xylok.io/reference/controls/control/SA-20/
SA-21,Developer Screening,,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)",PR.IP-11,https://app.xylok.io/reference/controls/control/SA-21/
SA-22,Unsupported System Components,,,,"CMMC, DAF Baseline",None,https://app.xylok.io/reference/controls/control/SA-22/
SA-23,Specialization,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline",None,https://app.xylok.io/reference/controls/control/SA-23/
SA-24,Design For Cyber Resiliency,,,,None,None,https://app.xylok.io/reference/controls/control/SA-24/
SC-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/SC-1/
SC-2,Separation of System and User Functionality,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SC-2/
SC-3,Security Function Isolation,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SC-3/
SC-4,Information in Shared System Resources,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SC-4/
SC-5,Denial-of-service Protection,,,,DAF Baseline,"DE.CM-1, PR.DS-4, PR.PT-4",https://app.xylok.io/reference/controls/control/SC-5/
SC-6,Resource Availability,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, NC3, Space Platform","ID.AM-5, PR.PT-5",https://app.xylok.io/reference/controls/control/SC-6/
SC-7,Boundary Protection,,,,"CMMC, DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)","DE.CM-1, PR.AC-5, PR.DS-5, PR.PT-4",https://app.xylok.io/reference/controls/control/SC-7/
SC-8,Transmission Confidentiality and Integrity,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",PR.DS-2,https://app.xylok.io/reference/controls/control/SC-8/
SC-10,Network Disconnect,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C","PR.AC-5, PR.PT-4",https://app.xylok.io/reference/controls/control/SC-10/
SC-11,Trusted Path,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline","PR.DS-2, PR.PT-4",https://app.xylok.io/reference/controls/control/SC-11/
SC-12,Cryptographic Key Establishment and Management,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SC-12/
SC-13,Cryptographic Protection,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SC-13/
SC-15,Collaborative Computing Devices and Applications,,,,"CMMC, DAF Baseline",PR.AC-3,https://app.xylok.io/reference/controls/control/SC-15/
SC-16,Transmission of Security and Privacy Attributes,,,,"DAF Baseline, Privacy (high), Privacy (moderate)",DE.AE-1,https://app.xylok.io/reference/controls/control/SC-16/
SC-17,Public Key Infrastructure Certificates,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-17/
SC-18,Mobile Code,,,,"CMMC, DAF Baseline",DE.CM-5,https://app.xylok.io/reference/controls/control/SC-18/
SC-20,Secure Name/Address Resolution Service (Authoritative Source),,,,DAF Baseline,"PR.AC-5, PR.PT-4",https://app.xylok.io/reference/controls/control/SC-20/
SC-21,Secure Name/Address Resolution Service (Recursive or Caching Resolver),,,,DAF Baseline,PR.PT-4,https://app.xylok.io/reference/controls/control/SC-21/
SC-22,Architecture and Provisioning for Name/Address Resolution Service,,,,DAF Baseline,PR.PT-4,https://app.xylok.io/reference/controls/control/SC-22/
SC-23,Session Authenticity,,,,"CMMC, DAF Baseline",PR.PT-4,https://app.xylok.io/reference/controls/control/SC-23/
SC-24,Fail in Known State,,,,"DAF Baseline, Int-C",None,https://app.xylok.io/reference/controls/control/SC-24/
SC-25,Thin Nodes,,,,"DAF Baseline, NC3",None,https://app.xylok.io/reference/controls/control/SC-25/
SC-26,Decoys,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-26/
SC-27,Platform-independent Applications,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-27/
SC-28,Protection of Information at Rest,,,,"CMMC, Classified, DAF Baseline, Int-A, Int-B, Int-C, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",PR.DS-1,https://app.xylok.io/reference/controls/control/SC-28/
SC-29,Heterogeneity,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline",None,https://app.xylok.io/reference/controls/control/SC-29/
SC-30,Concealment and Misdirection,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/SC-30/
SC-31,Covert Channel Analysis,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, NC3",PR.PT-4,https://app.xylok.io/reference/controls/control/SC-31/
SC-32,System Partitioning,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, Int-C, Space Platform",None,https://app.xylok.io/reference/controls/control/SC-32/
SC-34,Non-modifiable Executable Programs,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-34/
SC-35,External Malicious Code Identification,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-35/
SC-36,Distributed Processing and Storage,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-36/
SC-37,Out-of-band Channels,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, NC3",PR.PT-4,https://app.xylok.io/reference/controls/control/SC-37/
SC-38,Operations Security,,,,DAF Baseline,PR.PT-4,https://app.xylok.io/reference/controls/control/SC-38/
SC-39,Process Isolation,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-39/
SC-40,Wireless Link Protection,,,,"DAF Baseline, NC3, Space Platform",None,https://app.xylok.io/reference/controls/control/SC-40/
SC-41,Port and I/O Device Access,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SC-41/
SC-42,Sensor Capability and Data,,,,"Classified, DAF Baseline, Int-A, Int-B, Int-C",None,https://app.xylok.io/reference/controls/control/SC-42/
SC-43,Usage Restrictions,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, NC3",None,https://app.xylok.io/reference/controls/control/SC-43/
SC-44,Detonation Chambers,,,,DAF Baseline,"DE.CM-4, DE.CM-5",https://app.xylok.io/reference/controls/control/SC-44/
SC-45,System Time Synchronization,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-45/
SC-46,Cross Domain Policy Enforcement,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline",None,https://app.xylok.io/reference/controls/control/SC-46/
SC-47,Alternate Communications Paths,,,,DAF Baseline,PR.PT-4,https://app.xylok.io/reference/controls/control/SC-47/
SC-48,Sensor Relocation,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SC-48/
SC-49,Hardware-enforced Separation and Policy Enforcement,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, NC3",None,https://app.xylok.io/reference/controls/control/SC-49/
SC-50,Software-enforced Separation and Policy Enforcement,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline",None,https://app.xylok.io/reference/controls/control/SC-50/
SC-51,Hardware-based Protection,,,,"DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/SC-51/
SI-1,Policy and Procedures,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)","DE.DP-2, ID.GV-1, ID.GV-3",https://app.xylok.io/reference/controls/control/SI-1/
SI-2,Flaw Remediation,,,,"CMMC, DAF Baseline","ID.RA-1, PR.IP-12",https://app.xylok.io/reference/controls/control/SI-2/
SI-3,Malicious Code Protection,,,,"CMMC, DAF Baseline, Int-A, Int-B, Int-C","DE.CM-4, DE.DP-3",https://app.xylok.io/reference/controls/control/SI-3/
SI-4,System Monitoring,,,,"CMMC, DAF Baseline, NC3, Privacy (high), Privacy (low), Privacy (moderate)","DE.AE-1, DE.AE-2, DE.AE-3, DE.AE-4, DE.CM-1, DE.CM-4, DE.CM-5, DE.CM-6, DE.CM-7, DE.DP-2, DE.DP-3, DE.DP-4, DE.DP-5, ID.RA-1, PR.DS-5, PR.IP-8, RS.AN-1",https://app.xylok.io/reference/controls/control/SI-4/
SI-5,"Security Alerts, Advisories, and Directives",,,,"CMMC, DAF Baseline, NC3","ID.RA-1, ID.RA-2, ID.RA-3, RS.AN-5, RS.CO-5",https://app.xylok.io/reference/controls/control/SI-5/
SI-6,Security and Privacy Function Verification,,,,"DAF Baseline, NC3",None,https://app.xylok.io/reference/controls/control/SI-6/
SI-7,"Software, Firmware, and Information Integrity",,,,"DAF Baseline, Int-A, Int-B, Int-C, Privacy (high), Privacy (moderate)",PR.DS-6,https://app.xylok.io/reference/controls/control/SI-7/
SI-8,Spam Protection,,,,DAF Baseline,DE.CM-4,https://app.xylok.io/reference/controls/control/SI-8/
SI-10,Information Input Validation,,,,"DAF Baseline, Privacy (high), Privacy (moderate)",PR.DS-6,https://app.xylok.io/reference/controls/control/SI-10/
SI-11,Error Handling,,,,"DAF Baseline, Privacy (high), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SI-11/
SI-12,Information Management and Retention,,,,"CMMC, DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate), Privacy Control Baseline (CNSSI 1253)",None,https://app.xylok.io/reference/controls/control/SI-12/
SI-13,Predictable Failure Prevention,,,,"DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/SI-13/
SI-14,Non-persistence,,,,"DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/SI-14/
SI-15,Information Output Filtering,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-15/
SI-16,Memory Protection,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-16/
SI-17,Fail-safe Procedures,,,,"CDS - Access, CDS - Multilevel, CDS - Transfer, DAF Baseline, Space Platform",None,https://app.xylok.io/reference/controls/control/SI-17/
SI-18,Personally Identifiable Information Quality Operations,,,,"DAF Baseline, Privacy (accountability), Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SI-18/
SI-19,De-identification,,,,"DAF Baseline, Privacy (high), Privacy (low), Privacy (moderate)",None,https://app.xylok.io/reference/controls/control/SI-19/
SI-20,Tainting,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-20/
SI-21,Information Refresh,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-21/
SI-22,Information Diversity,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-22/
SI-23,Information Fragmentation,,,,DAF Baseline,None,https://app.xylok.io/reference/controls/control/SI-23/
